Date,Open,High,Low,Close,Adj Close,Volume
2022-03-18,1.127792,1.144999,1.106684,1.131972,1.131972,58127911
2022-03-19,1.131951,1.148128,1.126167,1.133904,1.133904,39660801
2022-03-20,1.133865,1.138962,1.105798,1.115118,1.115118,39696758
2022-03-21,1.115105,1.134935,1.114109,1.115667,1.115667,39214394
2022-03-22,1.115693,1.148593,1.114734,1.139450,1.139450,42549482
2022-03-23,1.139440,1.187742,1.131632,1.187438,1.187438,50444144
2022-03-24,1.187454,1.220711,1.187454,1.217286,1.217286,52284191
2022-03-25,1.217270,1.239169,1.213073,1.223169,1.223169,41696776
2022-03-26,1.223112,1.235717,1.218023,1.234754,1.234754,22773153
2022-03-27,1.234794,1.297044,1.226378,1.297044,1.297044,27065285
2022-03-28,1.296997,1.351039,1.292344,1.308278,1.308278,38062191
2022-03-29,1.308301,1.342695,1.307769,1.322084,1.322084,37151920
2022-03-30,1.322109,1.343642,1.305288,1.330119,1.330119,37563704
2022-03-31,1.330119,1.357740,1.270534,1.281239,1.281239,47252339
2022-04-01,1.281497,1.338315,1.261896,1.330348,1.330348,33911047
2022-04-02,1.330349,1.359620,1.321543,1.335013,1.335013,26694773
2022-04-03,1.335013,1.362530,1.321691,1.338157,1.338157,22628915
2022-04-04,1.338272,1.344078,1.307272,1.337598,1.337598,30096850
2022-04-05,1.337604,1.344545,1.284237,1.284333,1.284333,28754820
2022-04-06,1.284415,1.284884,1.190812,1.196071,1.196071,52466014
2022-04-07,1.196100,1.241613,1.190728,1.235332,1.235332,37229781
2022-04-08,1.235293,1.257673,1.220956,1.225897,1.225897,33666614
2022-04-09,1.225886,1.243300,1.225199,1.242475,1.242475,22631627
2022-04-10,1.242430,1.253660,1.231342,1.233053,1.233053,25520262
2022-04-11,1.232659,1.232659,1.133677,1.139204,1.139204,37314034
2022-04-12,1.139403,1.181317,1.135817,1.161998,1.161998,32412122
2022-04-13,1.161894,1.202660,1.154796,1.198175,1.198175,27162415
2022-04-14,1.198034,1.203277,1.154121,1.161604,1.161604,32623128
2022-04-15,1.161662,1.224497,1.158341,1.223246,1.223246,40660219
2022-04-16,1.223313,1.225457,1.208962,1.218026,1.218026,33155036
2022-04-17,1.218040,1.226447,1.190126,1.191816,1.191816,25844780
2022-04-18,1.191750,1.217361,1.163834,1.215986,1.215986,43492625
2022-04-19,1.215866,1.249356,1.206913,1.245258,1.245258,44809633
2022-04-20,1.245230,1.284204,1.236056,1.262003,1.262003,59541912
2022-04-21,1.261998,1.316813,1.242791,1.254038,1.254038,66160117
2022-04-22,1.254082,1.276064,1.242517,1.257658,1.257658,48467420
2022-04-23,1.257466,1.258464,1.234552,1.244231,1.244231,19550336
2022-04-24,1.244194,1.261286,1.242702,1.250853,1.250853,24894445
2022-04-25,1.251055,1.309604,1.219276,1.304695,1.304695,64651767
2022-04-26,1.304476,1.309721,1.198012,1.206157,1.206157,27647222
2022-04-27,1.206460,1.247253,1.206460,1.239054,1.239054,31867845
2022-04-28,1.239118,1.258499,1.228731,1.248290,1.248290,21622196
2022-04-29,1.247961,1.251290,1.221435,1.232541,1.232541,20538569
2022-04-30,1.232544,1.236853,1.180222,1.182794,1.182794,16765200
2022-05-01,1.182498,1.216628,1.181816,1.214628,1.214628,12587697
2022-05-02,1.214517,1.224377,1.189679,1.207347,1.207347,15946045
2022-05-03,1.207242,1.208271,1.183242,1.184921,1.184921,10433679
2022-05-04,1.184691,1.223151,1.173866,1.211908,1.211908,14911260
2022-05-05,1.212359,1.228566,1.140499,1.153982,1.153982,34247513
2022-05-06,1.154063,1.157645,1.118961,1.126565,1.126565,26437691
2022-05-07,1.126465,1.127396,1.060837,1.074834,1.074834,16069161
2022-05-08,1.074561,1.075415,0.998754,1.002830,1.002830,30161815
2022-05-09,1.002924,1.007261,0.900283,0.900283,0.900283,33960418
2022-05-10,0.900665,0.927858,0.894384,0.909488,0.909488,25855574
2022-05-11,0.909386,0.911539,0.882381,0.894021,0.894021,50837963
2022-05-12,0.894120,0.916021,0.829018,0.842253,0.842253,95013622
2022-05-13,0.842089,0.887714,0.841317,0.857514,0.857514,15096118
2022-05-14,0.857222,0.866941,0.835222,0.854178,0.854178,14367219
2022-05-15,0.854094,0.868304,0.842108,0.865456,0.865456,10262120
2022-05-16,0.865651,0.865651,0.835879,0.839140,0.839140,11895379
2022-05-17,0.839145,0.850514,0.834207,0.847023,0.847023,10527915
2022-05-18,0.847012,0.849165,0.817391,0.817569,0.817569,33967027
2022-05-19,0.817512,0.820716,0.814559,0.816570,0.816570,35506405
2022-05-20,0.816464,0.817929,0.802533,0.804332,0.804332,32824368
2022-05-21,0.804353,0.805079,0.802466,0.804185,0.804185,17401414
2022-05-22,0.804188,0.805279,0.800573,0.802665,0.802665,24983565
2022-05-23,0.802481,0.803157,0.790404,0.790704,0.790704,25727049
2022-05-24,0.790673,0.791893,0.777614,0.780415,0.780415,24921742
2022-05-25,0.780736,0.782684,0.771281,0.771816,0.771816,20014384
2022-05-26,0.771843,0.773009,0.722095,0.748944,0.748944,40074705
2022-05-27,0.748993,0.749397,0.723051,0.723252,0.723252,32863930
